id,line,name,context,bg_img,img_left,img_right,bgm_index,sfx_name
int,int,string,int or string,string,string,string,int,int
10001,0,나레이션,하나... 둘.. 농구공으로 바닥과 손바닥 사이를 오가며 많은 인파를 따돌리고.,none,,,,401
10001,1,나레이션,셋... 넷.. 여태껏 쌓아올린 실력을 박수로 가득한 관중들 사이에서 뽐낸다.,none,,,,402
10001,2,나레이션,다..섯...,none,,,,302
10001,3,나레이션,그렇게 심판이 부는 휘슬 소리에 모두가 그 시간에 멈춘 듯 했다.,none,,,,
10001,4,나레이션,왜였을까?,none,,,,
10001,5,앵커,국가대표 포인트 가드 XX 선수가 승부 조작 의혹이 짙어지면서...,Story01_bg_WatingRoom,,Story01_char_Announcer_idle,107,404
10001,6,감독,"형, 나 안 했어, 진짜 내가 한 게 아니라고!",Story01_bg_WatingRoom,Story01_char_Coach_imotion_03,,,
10001,7,매니저,"알지, 소속사에서도 해명하려고 최선을 다하고 있어. ",Story01_bg_WatingRoom,,Story01_char_Manager_idle,,
10001,8,매니저,근데 여론은.. 쉽게 돌아올 것 같진 않네.,Story01_bg_WatingRoom,,Story01_char_Manager_imotion_02,,
10001,9,나레이션,말도 안 되는 의혹들이 내게 붙어가며 무겁게도 매달린다.,Story01_bg_WatingRoom,,,,
10001,10,나레이션,마치 농구에서 손을 뗄 때가 왔다는 듯이 지겹게도 날 흔든다.,Story01_bg_WatingRoom,,,,
10001,11,나레이션,핸드폰을 들여다보며 쇼츠를 본다.,Story02_bg_Room,,,102,
10001,12,나레이션,역시 재밌는 건 없다. 온통 어디서 퍼 온 영상들로 쇼츠가 도배됐다.,Story02_bg_Room,,,,
10001,13,나레이션,내 알고리즘이 어떻게 된건지.,Story02_bg_Room,,,,
10001,14,나레이션,난 그 후로 3년 간 아무것도 하지 않고 집에서 휴식 기간을  가졌다.,Story02_bg_Room,,,,
10001,15,나레이션,그래도 곧 복귀할 수 있을 것이라 믿었는데.,Story02_bg_Room,,,,
10001,16,감독,계속 이렇게 살 수도 없고.,Story02_bg_Room,Story01_char_coach_idle,,,
10001,17,나레이션,"은행에서 교통비 3,900원이 빠져 나갔다는 알람이 왔다.",Story02_bg_Room,,,,406
10001,18,감독,하.. 진짜. 그 놈의 돈이 또 나가네.,Story02_bg_Room,Story01_char_coach_idle,,,
10001,19,감독,"일, 해야 하는데...",Story02_bg_Room,Story01_char_coach_idle,,,
10001,20,나레이션,농구 말고 다른 일을 하자니 손에 가지 않았다.,Story02_bg_Room,,,,
10001,21,나레이션,그렇게 다시 반복해서 쇼츠를 넘긴다.,Story02_bg_Room,,,,
10001,22,감독,어?,Story02_bg_Room,Story01_char_coach_idle,,,
10001,23,나레이션,고등학교에서 학생들이 농구하는 영상이 나온다.,Story02_bg_Room,,,,401
10001,24,감독,귀엽네 이것들.,Story02_bg_Room,Story01_char_coach_idle,,,
10001,25,나레이션,자연스럽게 설명창을 눌러보다 감독을 구인한다는 글이 보인다.,Story02_bg_Room,,,,
10001,26,감독,"이걸, 신청해도 받아줄까?",Story02_bg_Room,Story01_char_coach_idle,,,
10001,27,감독,"뭐, 다른 일 하는 것보단 역시 농구가 낫긴하니까.",Story02_bg_Room,Story01_char_Coach_imotion_01,,,
10001,28,감독,해보고 안 되면 마는 거지.,Story02_bg_Room,Story01_char_Coach_imotion_01,,,
10001,29,감독,.... 역시,Story03_bg_Gate,Story01_char_coach_idle,,,
10001,30,감독,괜히 한다고 했나.,Story03_bg_Gate,Story01_char_coach_idle,,,
10001,31,감독,지금이라도 물러야 하나.,Story03_bg_Gate,Story01_char_coach_idle,,,
10001,32,나레이션,넓은 운동장에서 나를 지나쳐 등교하는 학생들 사이에 멈춰 서 바람이 불어도 무너질 것 같아 보이는 학교를  바라본다.,Story03_bg_Gate,,,,408
10001,33,감독,이 정도로 낡은 학교일 줄은.. 몰랐는데.,Story03_bg_Gate,Story01_char_Coach_imotion_02,,,
10001,34,나레이션,운동장 한 켠에서 아침부터 농구공을 튀기는 소리가 들린다.,Story03_bg_Gate,,,,
10001,35,나레이션,낡은 학교에 지원했다는 것에 좌절하면서 앉아 있어도 귀와 눈은 그 쪽을 향한다.,Story03_bg_Gate,,,,
10001,36,감독,역시. 난 농구를 버리진 못하겠네.,Story03_bg_Gate,Story01_char_coach_idle,,,
10001,37,나레이션,자리에서 힘껏 일어나 농구를 하고 있는 학생들에게 다가가며 소리친다.,Story03_bg_Gate,,,,409
10001,38,감독,거기!! 학생! 허리 펴고! 팔꿈치를 더 높이 펴야지!,Story03_bg_Gate,Story01_char_Coach_imotion_01,,,
10001,39,나레이션,그렇게 농구하는 학생을 도와주다가 경비에게 외부인인 것을 들켜 쫓겨날 뻔했다.,Story04_bg_PrincipalOffice,,,108,
10001,40,나레이션,"해명을 잘 한 덕에 교장실까지 에스코트를 받았지만,",Story04_bg_PrincipalOffice,,,,
10001,41,나레이션,교장실에 들어가자 마자 굳어있는 교장 선생님을 보니 불안함이 엄습했다.,Story04_bg_PrincipalOffice,,,,
10001,42,교장 선생님,"XX 감독, 우리 학교가 체육계는 아니라 농구부는 사실상 이름만 있는 상태예요. 지원해 줄 수 있는 건 그렇게 많진 않아요.",Story04_bg_PrincipalOffice,,Story01_char_Principal_idle,,
10001,43,나레이션,거의 없는 것과 다름없는 농구 예산 지원표와 남은 자금을 본다.,Story04_bg_PrincipalOffice,,,,410
10001,44,감독,"지원금도, 장비도 없이 팀을 만들라는 거군요. 게다가 남아 있는 것도 전 감독님이 허영부영 쓰신 것 같고.",Story04_bg_PrincipalOffice,Story01_char_coach_idle,,,
10001,45,교장 선생님,크흠. 솔직히 감독님이 지금 명성이 좀 그래도 실력만 믿고 고용하는 건데. ,Story04_bg_PrincipalOffice,,Story01_char_Principal_imotion_03,,
10001,46,교장 선생님,"무작정 지원해주기는 이사회 눈치도 보이고, 여러모로 애매한 면이 있어요.",Story04_bg_PrincipalOffice,,Story01_char_Principal_idle,,
10001,47,교장 선생님,"사실, 이사회가 농구부를 없애고 싶어 합니다. ",Story04_bg_PrincipalOffice,,Story01_char_Principal_imotion_02,,
10001,48,교장 선생님,예산만 잡아먹는 부활동이다보니 눈엣가시가 됐죠. ,Story04_bg_PrincipalOffice,,Story01_char_Principal_imotion_03,,
10001,49,교장 선생님,그런데 내가 농구를 좋아해서 고집을 좀 부렸습니다.,Story04_bg_PrincipalOffice,,Story01_char_Principal_idle,,
10001,50,교장 선생님,"최고의 선수였던 감독님이라면 죽어가는 이 팀을 살릴 수 있지 않을까 해서, 마지막으로 믿어보는 겁니다.",Story04_bg_PrincipalOffice,,Story01_char_Principal_idle,,
10001,51,학생 1,오늘 감독 온다하지 않았냐? 뭔데 아직도 안 오신대?,Story05_bg_Gym,,Story01_char_Player_idle,102,
10001,52,학생 2,야 다 낡아가는 학교에 누가 오겠냐. 다 구라겠지. 그냥 우리끼리 대충 하다가 가자.,Story05_bg_Gym,,Story01_char_Player_idle,,
10001,53,나레이션,농구공 튀기는 소리로 시끄러운 공간을 가르고 낡은 문이 열리는 소리를 내며 체육관으로 들어간다.,Story05_bg_Gym,,,,
10001,54,감독,"바닥 보수도 안 되어 있고, 농구공은 바람이 다 빠졌네?",Story05_bg_Gym,Story01_char_coach_idle,,,411
10001,55,감독,어우 먼지가 왜 이렇게 많아 여기. 이 학교는 청소도 제 때 안 하나.,Story05_bg_Gym,Story01_char_Coach_imotion_02,,,
10001,56,학생 1,저.. 누구세요?,Story05_bg_Gym,,Story01_char_Player_idle,,
10001,57,감독,니들 농구가르치러 온 감독이다! 모두 집중! 지금부터 딱 한 달 준다. ,Story05_bg_Gym,Story01_char_coach_idle,,,
10001,58,감독,"내가 시키는 거 못 따라오면, 내가 직접 이사회 가서 농구부 해체 해달라고 할 거야. ",Story05_bg_Gym,Story01_char_coach_idle,,,
10001,59,감독,알겠어?,Story05_bg_Gym,Story01_char_coach_idle,,,
